Player,Season,Month,Month_Num,Period,G,PA,AB,H,AVG,OBP,SLG,OPS,HR,RBI,SB,CS,BB,SO
Jung Hoo Lee,2024,March,3,Monthly,4,19,14,4,0.286,0.368,0.5,0.868,1,4,0,1,3,2
Jung Hoo Lee,2024,April,4,Monthly,24,102,94,24,0.255,0.314,0.319,0.633,1,3,2,2,7,8
Jung Hoo Lee,2024,May,5,Monthly,9,37,37,10,0.27,0.27,0.297,0.567,0,1,0,0,0,3
Jung Hoo Lee,2024,Season Total,99,Season,37,158,145,38,0.262,0.31,0.331,0.641,2,8,2,3,10,13
Jung Hoo Lee,2025,March,3,Monthly,4,17,14,4,0.286,0.412,0.429,0.841,0,2,1,0,3,3
Jung Hoo Lee,2025,April,4,Monthly,26,111,102,33,0.324,0.369,0.539,0.908,3,16,2,1,8,14
Jung Hoo Lee,2025,May,5,Monthly,27,115,108,25,0.231,0.27,0.343,0.613,3,13,2,0,4,11
Jung Hoo Lee,2025,June,6,Monthly,25,101,84,12,0.143,0.277,0.274,0.551,0,3,1,1,14,9
Jung Hoo Lee,2025,July,7,Monthly,21,88,79,22,0.278,0.341,0.392,0.733,0,9,1,0,8,9
Jung Hoo Lee,2025,August,8,Monthly,26,106,100,30,0.3,0.34,0.45,0.79,1,5,3,0,5,16
Jung Hoo Lee,2025,September,9,Monthly,21,79,73,23,0.315,0.367,0.425,0.792,1,7,0,1,5,9
Jung Hoo Lee,2025,Season Total,99,Season,150,617,560,149,0.266,0.327,0.407,0.734,8,55,10,3,47,71
Jung Hoo Lee,2026,March,3,Monthly,5,20,18,4,0.222,0.3,0.389,0.689,0,3,0,0,2,3
Jung Hoo Lee,2026,April,4,Monthly,26,102,93,29,0.312,0.353,0.452,0.805,2,8,0,0,7,14
Jung Hoo Lee,2026,May,5,Monthly,20,86,83,26,0.313,0.337,0.422,0.759,1,8,0,0,1,5
Jung Hoo Lee,2026,June,6,Monthly,15,61,58,23,0.397,0.41,0.5,0.91,1,7,3,0,1,3
Jung Hoo Lee,2026,Season Total,99,Season,66,269,252,82,0.325,0.357,0.448,0.805,4,26,3,0,11,25
Ceddanne Rafaela,2023,August,8,Monthly,2,5,5,2,0.4,0.4,0.6,1.0,0,1,0,0,0,2
Ceddanne Rafaela,2023,September,9,Monthly,25,82,76,18,0.237,0.28,0.382,0.662,2,4,2,1,4,25
Ceddanne Rafaela,2023,October,10,Monthly,1,2,2,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
Ceddanne Rafaela,2023,Season Total,99,Season,28,89,83,20,0.241,0.281,0.386,0.667,2,5,3,1,4,28
Ceddanne Rafaela,2024,March,3,Monthly,4,12,12,4,0.333,0.333,0.583,0.916,0,1,0,1,0,5
Ceddanne Rafaela,2024,April,4,Monthly,26,98,90,15,0.167,0.204,0.311,0.515,2,16,4,1,4,24
Ceddanne Rafaela,2024,May,5,Monthly,27,97,92,22,0.239,0.263,0.435,0.698,5,16,3,1,3,25
Ceddanne Rafaela,2024,June,6,Monthly,25,96,92,28,0.304,0.333,0.38,0.713,1,8,3,3,3,27
Ceddanne Rafaela,2024,July,7,Monthly,24,99,94,27,0.287,0.323,0.489,0.812,4,14,5,0,2,24
Ceddanne Rafaela,2024,August,8,Monthly,27,100,96,25,0.26,0.29,0.365,0.655,2,8,2,2,3,21
Ceddanne Rafaela,2024,September,9,Monthly,19,69,68,13,0.191,0.203,0.309,0.512,1,12,2,2,0,25
Ceddanne Rafaela,2024,Season Total,99,Season,152,571,544,134,0.246,0.274,0.39,0.664,15,75,19,10,15,151
Ceddanne Rafaela,2025,March,3,Monthly,5,15,15,1,0.067,0.067,0.067,0.134,0,1,1,0,0,3
Ceddanne Rafaela,2025,April,4,Monthly,23,89,79,19,0.241,0.315,0.367,0.682,2,14,6,0,7,15
Ceddanne Rafaela,2025,May,5,Monthly,27,96,90,24,0.267,0.298,0.4,0.698,1,5,0,0,3,21
Ceddanne Rafaela,2025,June,6,Monthly,26,99,92,26,0.283,0.327,0.543,0.87,6,13,4,1,5,21
Ceddanne Rafaela,2025,July,7,Monthly,23,90,87,25,0.287,0.3,0.552,0.852,5,16,3,2,2,13
Ceddanne Rafaela,2025,August,8,Monthly,28,109,101,21,0.208,0.266,0.317,0.583,1,7,5,2,5,22
Ceddanne Rafaela,2025,September,9,Monthly,24,89,82,20,0.244,0.303,0.366,0.669,1,7,1,0,6,22
Ceddanne Rafaela,2025,Season Total,99,Season,156,587,546,136,0.249,0.295,0.414,0.709,16,63,20,5,28,117
Ceddanne Rafaela,2026,March,3,Monthly,5,16,16,4,0.25,0.25,0.438,0.688,1,2,0,0,0,3
Ceddanne Rafaela,2026,April,4,Monthly,24,89,79,21,0.266,0.348,0.367,0.715,0,8,0,3,6,21
Ceddanne Rafaela,2026,May,5,Monthly,26,107,98,28,0.286,0.346,0.48,0.826,4,13,6,1,7,21
Ceddanne Rafaela,2026,June,6,Monthly,14,60,58,19,0.328,0.339,0.517,0.856,2,9,1,2,1,10
Ceddanne Rafaela,2026,Season Total,99,Season,69,272,251,72,0.287,0.339,0.45,0.789,7,32,7,6,14,55
