Player,Season,Month,Month_Num,Period,K_pct,BB_pct,SwStr_pct,Chase_pct,ZSwing_pct,ZContact_pct,OContact_pct,Contact_pct,Zone_pct,Pitches
Jung Hoo Lee,2024,March,3,Monthly,10.5,15.8,3.3,18.2,49.1,96.4,70.0,90.9,46.7,122
Jung Hoo Lee,2024,April,4,Monthly,7.8,6.9,4.4,30.2,58.3,92.9,84.6,90.2,52.7,364
Jung Hoo Lee,2024,May,5,Monthly,8.1,0.0,2.4,24.4,62.5,98.0,81.8,95.1,64.0,125
Jung Hoo Lee,2024,Season Total,99,Season,8.2,6.3,3.8,26.8,57.8,94.7,82.2,91.4,53.8,611
Jung Hoo Lee,2025,March,3,Monthly,17.6,17.6,7.1,23.3,62.5,92.0,57.1,84.4,57.1,70
Jung Hoo Lee,2025,April,4,Monthly,12.6,7.2,5.3,25.9,64.5,95.0,71.4,88.3,50.0,434
Jung Hoo Lee,2025,May,5,Monthly,9.6,3.5,7.2,25.1,66.4,88.7,72.9,84.8,54.1,418
Jung Hoo Lee,2025,June,6,Monthly,8.9,13.9,3.4,17.1,62.9,93.0,87.1,91.9,53.1,386
Jung Hoo Lee,2025,July,7,Monthly,10.2,9.1,5.0,19.5,63.0,91.2,77.4,88.3,53.1,341
Jung Hoo Lee,2025,August,8,Monthly,15.1,4.7,4.7,24.2,66.1,92.9,80.9,90.0,54.6,427
Jung Hoo Lee,2025,September,9,Monthly,11.4,6.3,6.8,21.7,63.6,91.0,63.3,84.0,50.4,278
Jung Hoo Lee,2025,Season Total,99,Season,11.5,7.6,5.4,22.5,64.5,92.0,74.8,87.9,52.8,2354
Jung Hoo Lee,2026,March,3,Monthly,15.0,10.0,7.4,34.2,56.7,100.0,61.5,83.3,44.1,68
Jung Hoo Lee,2026,April,4,Monthly,13.7,6.9,4.5,24.4,63.2,94.9,74.5,89.0,48.8,379
Jung Hoo Lee,2026,May,5,Monthly,5.8,1.2,6.4,35.3,65.0,93.3,75.9,87.3,51.1,313
Jung Hoo Lee,2026,June,6,Monthly,4.9,1.6,2.8,31.6,63.3,98.7,83.9,94.4,55.0,218
Jung Hoo Lee,2026,Season Total,99,Season,9.3,4.1,4.9,30.1,63.4,95.5,75.9,89.3,50.6,978
Ceddanne Rafaela,2023,August,8,Monthly,40.0,0.0,18.8,20.0,72.7,75.0,0.0,66.7,68.8,16
Ceddanne Rafaela,2023,September,9,Monthly,30.5,4.9,14.8,39.4,76.1,80.5,60.9,73.3,47.0,330
Ceddanne Rafaela,2023,October,10,Monthly,50.0,0.0,37.5,33.3,60.0,33.3,0.0,25.0,62.5,8
Ceddanne Rafaela,2023,Season Total,99,Season,31.5,4.5,15.5,38.8,75.4,79.1,59.2,72.0,48.3,354
Ceddanne Rafaela,2024,March,3,Monthly,41.7,0.0,17.1,52.5,83.9,73.1,66.7,75.4,37.8,82
Ceddanne Rafaela,2024,April,4,Monthly,24.5,4.1,14.7,38.3,74.7,79.9,62.7,74.3,51.5,361
Ceddanne Rafaela,2024,May,5,Monthly,25.8,3.1,18.5,46.1,74.2,82.2,46.5,69.9,54.2,336
Ceddanne Rafaela,2024,June,6,Monthly,28.1,3.1,22.4,49.2,81.6,74.2,51.1,64.6,45.9,331
Ceddanne Rafaela,2024,July,7,Monthly,24.2,2.0,16.9,43.4,80.5,82.1,54.4,72.1,48.3,360
Ceddanne Rafaela,2024,August,8,Monthly,21.0,3.0,16.3,46.1,82.2,81.3,63.2,73.8,44.2,369
Ceddanne Rafaela,2024,September,9,Monthly,36.2,0.0,24.5,56.1,78.0,75.0,49.4,62.6,43.2,273
Ceddanne Rafaela,2024,Season Total,99,Season,26.4,2.6,18.5,46.6,78.5,79.2,55.1,70.0,47.6,2112
Ceddanne Rafaela,2025,March,3,Monthly,20.0,0.0,23.3,76.5,80.8,76.2,61.5,70.6,60.5,43
Ceddanne Rafaela,2025,April,4,Monthly,16.9,7.9,14.4,38.6,79.5,80.5,65.6,75.5,49.2,327
Ceddanne Rafaela,2025,May,5,Monthly,21.9,3.1,16.1,43.6,77.1,85.2,52.0,73.3,50.4,347
Ceddanne Rafaela,2025,June,6,Monthly,21.2,5.1,14.1,42.4,77.7,88.1,53.3,76.1,51.0,361
Ceddanne Rafaela,2025,July,7,Monthly,14.4,2.2,12.8,40.1,77.8,86.2,63.1,78.2,49.4,320
Ceddanne Rafaela,2025,August,8,Monthly,20.2,4.6,12.9,44.0,68.4,85.1,64.7,77.2,50.4,389
Ceddanne Rafaela,2025,September,9,Monthly,24.7,6.7,14.7,40.7,71.8,81.6,60.3,74.1,51.0,341
Ceddanne Rafaela,2025,Season Total,99,Season,19.9,4.8,14.3,42.2,75.3,84.3,59.8,75.6,50.5,2128
Ceddanne Rafaela,2026,March,3,Monthly,18.8,0.0,13.3,35.0,56.0,71.4,71.4,71.4,55.6,45
Ceddanne Rafaela,2026,April,4,Monthly,23.6,6.7,11.1,34.3,65.8,85.3,62.3,76.7,46.4,334
Ceddanne Rafaela,2026,May,5,Monthly,19.6,6.5,10.7,36.1,66.5,89.8,60.8,78.6,46.6,410
Ceddanne Rafaela,2026,June,6,Monthly,16.7,1.7,12.3,52.2,72.0,85.7,72.9,80.1,48.6,220
Ceddanne Rafaela,2026,Season Total,99,Season,20.2,5.1,11.3,38.9,66.9,86.6,65.0,78.1,47.4,1009
